,Date,Open,High,Low,Close,SMAVG (50) on
,,,,,,
Fr,2/2/2018,2.5,2.5,1.8,1.93,
Th,2/1/2018,3.39,3.39,2.8,2.96,
We,1/31/2018,3.36,3.38,3.05,3.22,
Tu,1/30/2018,3.4,3.45,3.15,3.23,
Mo,1/29/2018,3.82,3.95,3.6,3.8,
,,,,,,
Fr,1/26/2018,4.1,4.24,3.95,4.16,
Th,1/25/2018,4.5,4.72,4.02,4.03,
We,1/24/2018,5.1,5.1,4.43,4.65,
Tu,1/23/2018,5.15,5.83,5.15,5.18,
Mo,1/22/2018,4.85,5.49,4.85,4.95,
,,,,,,
Fr,1/19/2018,6,6,5.45,5.45,
Th,1/18/2018,6,6.3,5.9,6,
We,1/17/2018,4.67,5.71,4.67,5.7,
Tu,1/16/2018,5.14,5.7,5.03,5.03,
,,,,,,
Fr,1/12/2018,4.7,5,4.7,5,
Th,1/11/2018,4.4,4.45,4.35,4.45,
We,1/10/2018,4.26,4.26,4.26,4.26,
Tu,1/9/2018,4.35,4.51,4.25,4.42,
Mo,1/8/2018,4.65,4.65,4.45,4.45,
,,,,,,
Fr,1/5/2018,4.4,4.6,4.39,4.6,
Th,1/4/2018,4.45,4.45,4.2,4.2,
We,1/3/2018,4.35,4.61,4.35,4.35,
Tu,1/2/2018,3.48,4.01,3.48,4,
,,,,,,
Fr,12/29/2017,3.6,3.6,3.45,3.45,
Th,12/28/2017,3.85,3.85,3.76,3.76,
We,12/27/2017,3.8,3.8,3.8,3.8,
Tu,12/26/2017,4,4,3.8,3.84,
,,,,,,
Fr,12/22/2017,5.1,5.11,4.97,4.97,
Th,12/21/2017,5.24,5.3,5.24,5.3,
We,12/20/2017,5.15,5.15,4.9,4.99,
Tu,12/19/2017,5.15,5.15,5.15,5.15,
Mo,12/18/2017,5.7,5.7,5.66,5.7,
,,,,,,
Fr,12/15/2017,,,,,
Th,12/14/2017,4.64,4.64,4.64,4.64,
We,12/13/2017,5.15,5.15,4.95,4.95,
Tu,12/12/2017,4.8,4.8,4.8,4.8,
Mo,12/11/2017,4.85,4.85,4.85,4.85,
,,,,,,
Fr,12/8/2017,4.6,4.6,4.48,4.48,
Th,12/7/2017,4.55,4.55,4.55,4.55,
We,12/6/2017,4.5,4.5,4.49,4.49,
Tu,12/5/2017,5,5,5,5,
Mo,12/4/2017,5.37,5.37,5.29,5.29,
,,,,,,
Fr,12/1/2017,5.3,5.3,5.15,5.16,
Th,11/30/2017,5.05,5.1,4.95,4.95,
We,11/29/2017,,,,,
Tu,11/28/2017,5.5,5.5,5.5,5.5,
Mo,11/27/2017,6.01,6.05,6.01,6.05,
,,,,,,
Fr,11/24/2017,6.4,6.4,6.4,6.4,
